iter	RMSE
0	78.00284856
1	74.11566445
2	70.6487223
3	68.19244123
4	64.91383485
5	62.3850633
6	59.6561466
7	57	49.7893278	54.621631
9	52.89610359
10	50.89158602
11	4811	50.30096012	12	48.24760022
13	46.88102453
14	44.84637927
15	43.55842649
16	42.0627682
17	40.37462501818	39.04747199
19	37.74641320	20	36.56825521	21	35.09055622	22	33.65650523	23	32.52584913
24	31.5445124
25	30.37226075
26	29.3209483
27	28.37849064
28	27.36361184
29	26.62274331
30	25.67437572
31	24.99452463
32	24.280724033	23.51114389
34	22.9212033
35	22.14384748
36	21.7382142
37	21.19793954
38	238	20.8671739	139	19.9857340	140	19.4913741	18.94732982
42	18.56345881
43	143	18.036144	1744	17.520945	1745	16.894046	1646	16.58034952
47	16.29430956
48	15.90762166
49	15.57238676
50	15.33851	15.51	15.0452	15.052	14.8553	14.553	14.5054	14.354	14.20518228
55	13.85616283
56	13.43007238
57	13.04505041
58	12.63985077
59	12.49070431
60	12.28260391
61	12.08403459
62	11.90170047
63	11.64	11.55864	11.65	11.24165	11.66	10.96566	11.67	10.67667	10.83507349
68	10.73697795
69	10.57181428
70	10.47902964
71	10.23727382
72	9.998625063
73	9.737136277
74	9.610146901
75	9.384193191
76	9.088582707
77	8.899025802
78	8.802188073
79	8.628923615
80	8.562175791
81	8.279078753
82	8.193484297
83	8.060956922
84	7.967860615
85	7.81124707
86	7.727462478
87	7.564731059
88	7.455919154
89	7.37444593
90	7.268502592
91	7.209155271
92	7.155325243
93	7.040626921
94	6.983151415
95	6.917216715
96	6.864115424
97	6.828502003
98	6.696351956
99	6.561827982
100	6.454629793
101	6.357880879
102	6.299813236
103	6.170667584
104	6.009812261
105	5.896979512
106	5.861058174
107	5.800915212
108	5.745611376
109	5.620808387
110	5.57336748
111	5.511485101
112	5.467587497
113	5.422476091
114	5.373828402
115	5.336519623
116	5.269577904
117	5.196900697
118	5.133732067
119	5.041702236
120	5.017371912
121	4.922796219
122	4.825478257
123	4.768847706
124	4.727064605
125	4.640327692
126	4.542855563
127	4.49945009
128	4.41353473
129	4.352096796
130	4.311237434
131	4.262306389
132	4.184708316
133	4.127088455
134	4.078775625
135	4.02593126
136	3.958780524
137	3.894584891
138	3.861606734
139	3.804505657
140	3.734583853
141	3.696687585
142	3.634680759
143	3.569939762
144	3.526027892
145	3.515619679
146	3.48264142
147	3.450093623
148	3.395087467
149	3.339746627
150	3.284676335
151	3.230782121
152	3.186257959
153	3.148876969
154	3.127871515
155	3.094221114
156	3.049932557
157	3.02636427
158	2.996065676
159	2.950669052
160	2.914660872
161	2.869585768
162	2.830120764
163	2.790127334
164	2.749347688
165	2.702057629
166	2.676829433
167	2.653651968
168	2.636781699
169	2.607671326
170	2.583294417
171	2.5563432
172	2.502863792
173	2.471825194
174	2.430934782
175	2.404061593
176	2.3806996
177	2.361656738
178	2.331159595
179	2.320582471
180	2.30833653
181	2.289679939
182	2.25515032
183	2.225117421
184	2.203351017
185	2.181499465
186	2.156642867
187	2.130787161
188	2.105451239
189	2.07910699
190	2.067148829
191	2.049445597
192	2.038528103
193	2.010603614
194	1.986381343
195	1.966603301
196	1.944997782
197	1.931176448
198	1.908085501
199	1.881637446
200	1.866043092
201	1.840559988
202	1.825302188
203	1.810963631
204	1.792674295
205	1.770663807
206	1.752429177
207	1.741281412
208	1.729126794
209	1.708865857
210	1.698336613
211	1.681709193
212	1.664120619
213	1.650175396
214	1.641475515
215	1.629778628
216	1.617321983
217	1.59763104
218	1.580507557
219	1.567260198
220	1.56248332
221	1.541477601
222	1.532945884
223	1.516815335
224	1.508104323
225	1.504631464
226	1.500522695
227	1.484066613
228	1.471728324
229	1.457785621
230	1.438947812
231	1.427840061
232	1.418402027
233	1.397552428
234	1.38253926
235	1.369236028
236	1.352984067
237	1.337986728
238	1.325410357
239	1.304508399
240	1.295307243
241	1.284569951
242	1.274297739
243	1.262542417
244	1.245161514
245	1.23017425
246	1.216703389
247	1.199754895
248	1.193244601
249	1.180182328
250	1.171362196
251	1.165322258
252	1.15090165
253	1.13512014
254	1.131073828
255	1.118230215
256	1.109545305
257	1.102448586
258	1.089550125
259	1.078179278
260	1.069802871
261	1.058953006
262	1.040886164
263	1.035641926
264	1.02605155
265	1.012029556
266	1.000822968
267	0.9946459852
268	0.9826175358
269	0.9757925847
270	0.9675066071
271	0.9646656271
272	0.9544175629
273	0.946370268
274	0.9377677706
275	0.9294676763
276	0.9219991065
277	0.9150666277
278	0.907827174
279	0.9013640765
280	0.8985549617
281	0.8876239371
282	0.8755242262
283	0.8684686806
284	0.8552808051
285	0.8482370525
286	0.8372560614
287	0.8318380298
288	0.8208042781
289	0.8146301712
290	0.8043367036
291	0.7957904525
292	0.7862955363
293	0.7799050511
294	0.7713541862
295	0.7662524845
296	0.7625029753
297	0.7523782289
298	0.7459820846
299	0.7404637457
300	0.736507976
301	0.7303079701
302	0.7211645872
303	0.7175784645
304	0.7117371094
305	0.7050209462
306	0.7016266927
307	0.6941216871
308	0.69196895
309	0.6859413124
310	0.6757408268
311	0.6692718216
312	0.6627821535
313	0.6563704497
314	0.6506150172
315	0.6451541497
316	0.6388477763
317	0.6301751464
318	0.6266195451
319	0.619279148
320	0.6153261118
321	0.611303748
322	0.6070404721
323	0.5995847554
324	0.5985688125
325	0.5976155986
326	0.59243643
327	0.5871218782
328	0.5841689907
329	0.5799369657
330	0.577468796
331	0.5722190452
332	0.5684274148
333	0.5628838665
334	0.5579879288
335	0.5539384643
336	0.5483736282
337	0.5414944822
338	0.5346615889
339	0.5294686136
340	0.525778143
341	0.5194241703
342	0.5146787716
343	0.5107430344
344	0.5074641693
345	0.5038602929
346	0.4998921056
347	0.4951007946
348	0.4885779499
349	0.4839128211
350	0.4816211971
351	0.4778374611
352	0.4742308983
353	0.4709673109
354	0.4680987432
355	0.463546587
356	0.460896428
357	0.4602074138
358	0.4587433938
359	0.4555853035
360	0.4547869931
361	0.4528945196
362	0.4459968454
363	0.4407989209
364	0.4377090549
365	0.4352143149
366	0.4317570695
367	0.4290938379
368	0.4243229382
369	0.4215868783
370	0.4191874901
371	0.4178767542
372	0.4148429723
373	0.4122514133
374	0.409852391
375	0.4078297788
376	0.4072218069
377	0.4054723276
378	0.4015726391
379	0.3987131033
380	0.3956675326
381	0.3924209224
382	0.3901007969
383	0.3874952996
384	0.3830348396
385	0.3794260022
386	0.3755357954
387	0.3713993787
388	0.3676247315
389	0.3671138323
390	0.3644906405
391	0.3605256123
392	0.3582301158
393	0.3555166603
394	0.3527425346
395	0.3500216984
396	0.3453830944
397	0.3428602421
398	0.3390886245
399	0.3360739043
400	0.3316943779
401	0.3276112166
402	0.3237555851
403	0.3200957297
404	0.3164807509
405	0.3112730037
406	0.3088937283
407	0.3061711036
408	0.3030464035
409	0.2997164471
410	0.297235932
411	0.2963968431
412	0.2933964459
413	0.2896855268
414	0.2879520636
415	0.2860072136
416	0.2842034135
417	0.2821015016
418	0.2792221093
419	0.2747478223
420	0.2725218861
421	0.2708761742
422	0.2689074582
423	0.2667175789
424	0.2640071617
425	0.2619713164
426	0.2596846392
427	0.2575392015
428	0.2561875199
429	0.253192724
430	0.2513813322
431	0.2489604016
432	0.2469915417
433	0.2451107084
434	0.2428887665
435	0.2402430676
436	0.2388673842
437	0.2362844004
438	0.2348133726
439	0.2325573184
440	0.2315437533
441	0.2298279903
442	0.2281200225
443	0.2263604568
444	0.223736877
445	0.2219377479
446	0.2204772793
447	0.2184900737
448	0.2168589756
449	0.2142509176
450	0.2120452629
451	0.2096629725
452	0.2076278699
453	0.2057227725
454	0.2029164939
455	0.2017251862
456	0.1999062987
457	0.199105137
458	0.1982134902
459	0.1947797081
460	0.1935561233
461	0.1919163086
462	0.1905383921
463	0.189181987
464	0.1871588028
465	0.1851096245
466	0.1831780691
467	0.1816489935
468	0.1795362052
469	0.1776978157
470	0.1755523912
471	0.1743405871
472	0.1733985606
473	0.171801447
474	0.1706751394
475	0.1694745429
476	0.1683071537
477	0.1678241518
478	0.1670471114
479	0.1661995294
480	0.1651482092
481	0.1641408257
482	0.1639446063
483	0.1633467046
484	0.162154374
485	0.160615428
486	0.1594100744
487	0.1581844475
488	0.1571646257
489	0.156504549
490	0.1555579976
491	0.1553181512
492	0.1535056298
493	0.1514115916
494	0.1502838642
495	0.1489199874
496	0.1478804696
497	0.1467815187
498	0.1453763631
499	0.1449489475
	0.08037648538
498	0.07953251005
499	0.07865956357
89167082
